datetime_EST,datetime_EST2,W9_Precipitation_mm,api_30d,Event
11/3/2018 2:00,2018-11-02T20:30:00Z,5.814,9.10054376662994,9
11/3/2018 3:00,2018-11-02T21:30:00Z,1.697,13.977782960253561,9
11/3/2018 4:00,2018-11-02T22:30:00Z,0.329,14.211340760059894,9
11/3/2018 5:00,2018-11-02T23:30:00Z,0.171,12.974483269702318,9
11/3/2018 6:00,2018-11-03T00:30:00Z,0.118,11.789026450412987,9
11/3/2018 7:00,2018-11-03T01:30:00Z,0.079,10.649149077504958,9
11/3/2018 8:00,2018-11-03T02:30:00Z,0.039,9.620673446846148,9
11/3/2018 9:00,2018-11-03T03:30:00Z,0.039,8.66004753592969,9
11/3/2018 10:00,2018-11-03T04:30:00Z,0,7.7798842698596005,9
11/3/2018 11:00,2018-11-03T05:30:00Z,0.512,6.974468763469577,9
11/3/2018 12:00,2018-11-03T06:30:00Z,9.393,6.778381706395537,9
11/3/2018 13:00,2018-11-03T07:30:00Z,2.866,15.439749155904737,9
11/3/2018 14:00,2018-11-03T08:30:00Z,1.606,16.740493878860107,9
11/3/2018 15:00,2018-11-03T09:30:00Z,1.104,16.550357955141475,9
11/3/2018 16:00,2018-11-03T10:30:00Z,0.342,15.969139654935372,9
11/3/2018 17:00,2018-11-03T11:30:00Z,1.026,14.708078971491929,9
11/3/2018 18:00,2018-11-03T12:30:00Z,0.118,14.252630893615656,9
11/3/2018 19:00,2018-11-03T13:30:00Z,0.118,12.907936411497074,9
11/3/2018 20:00,2018-11-03T14:30:00Z,0.276,11.730649307570195,9
11/3/2018 21:00,2018-11-03T15:30:00Z,0.066,10.830786560367011,9
11/3/2018 22:00,2018-11-03T16:30:00Z,0.066,9.813707904330313,9
11/3/2018 23:00,2018-11-03T17:30:00Z,0.132,8.898337113897282,9
11/4/2018 0:00,2018-11-03T18:30:00Z,0.113,8.140503402507552,9
11/4/2018 1:00,2018-11-03T19:30:00Z,0.141,7.439453062256797,9
11/4/2018 2:00,2018-11-03T20:30:00Z,0.071,6.833709939584951,9
11/4/2018 3:00,2018-11-03T21:30:00Z,0.071,6.221338945626458,9
11/4/2018 4:00,2018-11-03T22:30:00Z,0.071,5.670205051063813,9
11/4/2018 5:00,2018-11-03T23:30:00Z,0,5.143323782733073,9
