hobo_event_n,dt,site,yield_mm
1,2018-07-26T20:15:00Z,TFD,45.41717526924565
1,2018-07-26T20:20:00Z,SFA,0.1803591106094633
1,2018-07-26T20:20:00Z,SFB,0.13955643103423826
1,2018-07-26T20:20:00Z,SFC,0.1658000387752744
1,2018-07-26T20:20:00Z,SFD,0.1016469595429591
1,2018-07-26T20:20:00Z,TFB,41.50336753210996
1,2018-07-26T20:20:00Z,TFD,40.29321583866402
1,2018-07-26T20:25:00Z,SFA,0.15452065350738178
1,2018-07-26T20:25:00Z,SFB,0.11809486880066274
1,2018-07-26T20:25:00Z,SFC,0.1412998792631143
1,2018-07-26T20:25:00Z,SFD,0.0861836971981556
1,2018-07-26T20:25:00Z,TFB,35.23216914788663
1,2018-07-26T20:25:00Z,TFD,33.64215213206626
1,2018-07-26T20:30:00Z,SFA,0.13264746439307323
1,2018-07-26T20:30:00Z,SFB,0.0995690251270143
1,2018-07-26T20:30:00Z,SFC,0.12016689857834598
1,2018-07-26T20:30:00Z,SFD,0.07312931054839941
1,2018-07-26T20:30:00Z,TFB,30.136165361334477
1,2018-07-26T20:30:00Z,TFD,28.14437189638923
2,2018-09-03T23:00:00Z,SFA,0.11283510698809138
2,2018-09-03T23:00:00Z,SFB,0.08231481140755662
2,2018-09-03T23:00:00Z,SFC,0.1004896074662012
2,2018-09-03T23:00:00Z,SFD,0.06142095753823687
2,2018-09-03T23:00:00Z,TFB,25.82716026934184
2,2018-09-03T23:00:00Z,TFD,23.350887914875877
2,2018-09-03T23:05:00Z,SFA,0.08903622650802821
2,2018-09-03T23:05:00Z,SFB,0.06155180562216435
2,2018-09-03T23:05:00Z,SFC,0.07675739831197298
2,2018-09-03T23:05:00Z,SFD,0.04742611881628928
2,2018-09-03T23:05:00Z,TFB,20.718277405832193
2,2018-09-03T23:05:00Z,TFD,17.63268705749063
2,2018-09-03T23:10:00Z,SFA,0.0648750326138112
2,2018-09-03T23:10:00Z,SFB,0.04029537873213749
2,2018-09-03T23:10:00Z,SFC,0.05243554870640578
2,2018-09-03T23:10:00Z,SFD,0.03322425761870406
2,2018-09-03T23:10:00Z,TFB,15.642506941913599
2,2018-09-03T23:10:00Z,TFD,11.900118201252518
2,2018-09-03T23:15:00Z,SFA,0.04397573496636764
2,2018-09-03T23:15:00Z,SFB,0.021560901698775933
2,2018-09-03T23:15:00Z,SFC,0.030989336240243984
2,2018-09-03T23:15:00Z,SFD,0.02089483718162858
2,2018-09-03T23:15:00Z,TFB,11.43283904869408
2,2018-09-03T23:15:00Z,TFD,7.063530223180562
2,2018-09-03T23:20:00Z,SFA,0.029962543226624963
2,2018-09-03T23:20:00Z,SFB,0.00836374548337964
