dt,site,site2,yield_mm,hobo_event_n,recession_n
2018-10-02T06:10:00Z,TF-D,TF,3.053801857851738,6,TFD_E6_1
2018-10-02T06:15:00Z,TF-D,TF,3.053801857851738,6,TFD_E6_1
2018-10-02T06:20:00Z,TF-D,TF,3.053801857851738,6,TFD_E6_1
2018-10-02T06:25:00Z,TF-D,TF,3.2573886483751866,6,TFD_E6_1
2018-10-02T06:30:00Z,TF-D,TF,2.6466282768048393,6,TFD_E6_1
2018-10-02T06:35:00Z,TF-D,TF,3.053801857851738,6,TFD_E6_1
2018-10-02T06:40:00Z,TF-D,TF,3.2573886483751866,6,TFD_E6_1
2018-10-02T06:45:00Z,TF-D,TF,2.850215067328288,6,TFD_E6_1
2018-10-02T06:50:00Z,TF-D,TF,3.053801857851738,6,TFD_E6_1
2018-10-02T06:55:00Z,TF-D,TF,3.2573886483751866,6,TFD_E6_1
2018-10-02T07:00:00Z,TF-D,TF,3.664562229422085,6,TFD_E6_1
2018-10-02T07:05:00Z,TF-D,TF,3.460975438898636,6,TFD_E6_1
2018-10-02T07:10:00Z,TF-D,TF,4.275322600992433,6,TFD_E6_1
2018-10-02T07:15:00Z,TF-D,TF,4.275322600992433,6,TFD_E6_1
2018-10-02T07:20:00Z,TF-D,TF,4.071735810468984,6,TFD_E6_1
2018-10-02T07:25:00Z,TF-D,TF,4.071735810468984,6,TFD_E6_1
2018-10-02T07:30:00Z,TF-D,TF,3.8681490199455344,6,TFD_E6_1
2018-10-02T07:35:00Z,TF-D,TF,4.478909391515882,6,TFD_E6_1
2018-10-02T07:40:00Z,TF-D,TF,4.682496182039331,6,TFD_E6_1
2018-10-02T07:45:00Z,TF-D,TF,4.682496182039331,6,TFD_E6_1
2018-10-02T07:50:00Z,TF-D,TF,5.0896697630862295,6,TFD_E6_1
2018-10-02T07:55:00Z,TF-D,TF,4.886082972562781,6,TFD_E6_1
2018-10-02T08:00:00Z,TF-D,TF,5.4968433441331275,6,TFD_E6_1
2018-10-02T08:05:00Z,TF-D,TF,5.2932565536096785,6,TFD_E6_1
2018-10-02T08:10:00Z,TF-D,TF,5.2932565536096785,6,TFD_E6_1
2018-10-02T08:15:00Z,TF-D,TF,6.107603715703476,6,TFD_E6_1
2018-10-02T08:20:00Z,TF-D,TF,6.311190506226924,6,TFD_E6_1
2018-10-02T08:25:00Z,TF-D,TF,5.904016925180026,6,TFD_E6_1
2018-10-02T08:30:00Z,TF-D,TF,6.107603715703476,6,TFD_E6_1
2018-10-02T08:35:00Z,TF-D,TF,6.718364087273823,6,TFD_E6_1
2018-10-02T08:40:00Z,TF-D,TF,7.736298039891069,6,TFD_E6_1
2018-10-02T08:45:00Z,TF-D,TF,7.32912445884417,6,TFD_E6_1
2018-10-02T08:50:00Z,TF-D,TF,6.514777296750373,6,TFD_E6_1
2018-10-02T08:55:00Z,TF-D,TF,7.32912445884417,6,TFD_E6_1
2018-10-02T09:00:00Z,TF-D,TF,6.718364087273823,6,TFD_E6_1
2018-10-02T09:05:00Z,TF-D,TF,6.718364087273823,6,TFD_E6_1
2018-10-02T09:10:00Z,TF-D,TF,7.125537668320721,6,TFD_E6_1
2018-10-02T09:15:00Z,TF-D,TF,7.736298039891069,6,TFD_E6_1
2018-10-02T09:20:00Z,TF-D,TF,7.736298039891069,6,TFD_E6_1
2018-10-02T09:25:00Z,TF-D,TF,7.53271124936762,6,TFD_E6_1
2018-10-02T09:30:00Z,TF-D,TF,8.143471620937968,6,TFD_E6_1
2018-10-02T09:35:00Z,TF-D,TF,7.736298039891069,6,TFD_E6_1
2018-10-02T09:40:00Z,TF-D,TF,9.161405573555212,6,TFD_E6_1
2018-10-02T09:45:00Z,TF-D,TF,9.364992364078661,6,TFD_E6_1
2018-10-02T09:50:00Z,TF-D,TF,9.97575273564901,6,TFD_E6_1
2018-10-02T09:55:00Z,TF-D,TF,9.772165945125561,6,TFD_E6_1
2018-10-02T10:00:00Z,TF-D,TF,9.56857915460211,6,TFD_E6_1
2018-10-02T10:05:00Z,TF-D,TF,8.957818783031763,6,TFD_E6_1
2018-10-02T10:10:00Z,TF-D,TF,9.97575273564901,6,TFD_E6_1
2018-10-02T10:15:00Z,TF-D,TF,10.179339526172459,6,TFD_E6_1
2018-10-02T10:20:00Z,TF-D,TF,10.179339526172459,6,TFD_E6_1
2018-10-02T10:25:00Z,TF-D,TF,9.772165945125561,6,TFD_E6_1
2018-10-02T10:30:00Z,TF-D,TF,10.586513107219357,6,TFD_E6_1
2018-10-02T10:35:00Z,TF-D,TF,10.586513107219357,6,TFD_E6_1
2018-10-02T10:40:00Z,TF-D,TF,10.790099897742806,6,TFD_E6_1
2018-10-02T10:45:00Z,TF-D,TF,10.790099897742806,6,TFD_E6_1
2018-10-02T10:50:00Z,TF-D,TF,10.38292631669591,6,TFD_E6_1
2018-10-02T10:55:00Z,TF-D,TF,10.790099897742806,6,TFD_E6_1
2018-10-02T11:00:00Z,TF-D,TF,11.197273478789704,6,TFD_E6_1
2018-10-02T11:05:00Z,TF-D,TF,10.993686688266255,6,TFD_E6_1
2018-10-02T11:10:00Z,TF-D,TF,11.197273478789704,6,TFD_E6_1
2018-10-02T11:15:00Z,TF-D,TF,10.993686688266255,6,TFD_E6_1
2018-10-02T11:20:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T11:25:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T11:30:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T11:35:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T11:40:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T11:45:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T11:50:00Z,TF-D,TF,11.197273478789704,6,TFD_E6_1
2018-10-02T11:55:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T12:00:00Z,TF-D,TF,11.197273478789704,6,TFD_E6_1
2018-10-02T12:05:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T12:10:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T12:15:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T12:20:00Z,TF-D,TF,11.197273478789704,6,TFD_E6_1
2018-10-02T12:25:00Z,TF-D,TF,10.993686688266255,6,TFD_E6_1
2018-10-02T12:30:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T12:35:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T12:40:00Z,TF-D,TF,10.790099897742806,6,TFD_E6_1
2018-10-02T12:45:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T12:50:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T12:55:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:00:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:05:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T13:10:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:15:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:20:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:25:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:30:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:35:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T13:40:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T13:45:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T13:50:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T13:55:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T14:00:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T14:05:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T14:10:00Z,TF-D,TF,11.400860269313153,6,TFD_E6_1
2018-10-02T14:15:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T14:20:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T14:25:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T14:30:00Z,TF-D,TF,11.808033850360053,6,TFD_E6_1
2018-10-02T14:35:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T14:40:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T14:45:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T14:50:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T14:55:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T15:00:00Z,TF-D,TF,12.011620640883502,6,TFD_E6_1
2018-10-02T15:05:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T15:10:00Z,TF-D,TF,11.604447059836604,6,TFD_E6_1
2018-10-02T15:15:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T15:20:00Z,TF-D,TF,12.4187942219304,6,TFD_E6_1
2018-10-02T15:25:00Z,TF-D,TF,12.622381012453848,6,TFD_E6_1
2018-10-02T15:30:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T15:35:00Z,TF-D,TF,12.215207431406952,6,TFD_E6_1
2018-10-02T15:40:00Z,TF-D,TF,12.4187942219304,6,TFD_E6_1
2018-10-02T15:45:00Z,TF-D,TF,13.029554593500746,6,TFD_E6_1
2018-10-02T15:50:00Z,TF-D,TF,12.4187942219304,6,TFD_E6_1
2018-10-02T15:55:00Z,TF-D,TF,12.622381012453848,6,TFD_E6_1
2018-10-02T16:00:00Z,TF-D,TF,12.825967802977297,6,TFD_E6_1
2018-10-02T16:05:00Z,TF-D,TF,13.436728174547646,6,TFD_E6_1
2018-10-02T16:10:00Z,TF-D,TF,14.047488546117995,6,TFD_E6_1
2018-10-02T16:15:00Z,TF-D,TF,13.843901755594544,6,TFD_E6_1
2018-10-02T16:20:00Z,TF-D,TF,13.843901755594544,6,TFD_E6_1
2018-10-02T16:25:00Z,TF-D,TF,14.047488546117995,6,TFD_E6_1
2018-10-02T16:30:00Z,TF-D,TF,14.047488546117995,6,TFD_E6_1
2018-10-02T16:35:00Z,TF-D,TF,14.047488546117995,6,TFD_E6_1
2018-10-02T16:40:00Z,TF-D,TF,14.861835708211789,6,TFD_E6_1
2018-10-02T16:45:00Z,TF-D,TF,14.454662127164891,6,TFD_E6_1
2018-10-02T16:50:00Z,TF-D,TF,15.06542249873524,6,TFD_E6_1
2018-10-02T16:55:00Z,TF-D,TF,15.676182870305587,6,TFD_E6_1
2018-10-02T17:00:00Z,TF-D,TF,16.286943241875935,6,TFD_E6_1
2018-10-02T17:05:00Z,TF-D,TF,16.694116822922833,6,TFD_E6_1
2018-10-02T17:10:00Z,TF-D,TF,17.50846398501663,6,TFD_E6_1
2018-10-02T17:15:00Z,TF-D,TF,17.30487719449318,6,TFD_E6_1
2018-10-02T17:20:00Z,TF-D,TF,17.915637566063527,6,TFD_E6_1
2018-10-02T17:25:00Z,TF-D,TF,17.712050775540078,6,TFD_E6_1
2018-10-02T17:30:00Z,TF-D,TF,17.915637566063527,6,TFD_E6_1
2018-10-02T17:35:00Z,TF-D,TF,17.50846398501663,6,TFD_E6_1
2018-10-02T17:40:00Z,TF-D,TF,17.50846398501663,6,TFD_E6_1
2018-10-02T17:45:00Z,TF-D,TF,17.50846398501663,6,TFD_E6_1
2018-10-02T17:50:00Z,TF-D,TF,17.915637566063527,6,TFD_E6_1
2018-10-02T17:55:00Z,TF-D,TF,17.915637566063527,6,TFD_E6_1
2018-10-02T18:00:00Z,TF-D,TF,17.712050775540078,6,TFD_E6_1
2018-10-02T18:05:00Z,TF-D,TF,17.915637566063527,6,TFD_E6_1
2018-10-02T18:10:00Z,TF-D,TF,18.52639793763387,6,TFD_E6_1
2018-10-02T18:15:00Z,TF-D,TF,18.322811147110425,6,TFD_E6_1
2018-10-02T18:20:00Z,TF-D,TF,18.119224356586976,6,TFD_E6_1
2018-10-02T18:25:00Z,TF-D,TF,18.52639793763387,6,TFD_E6_1
2018-10-02T18:30:00Z,TF-D,TF,18.52639793763387,6,TFD_E6_1
2018-10-02T18:35:00Z,TF-D,TF,18.52639793763387,6,TFD_E6_1
2018-10-02T18:40:00Z,TF-D,TF,18.729984728157323,6,TFD_E6_1
2018-10-02T18:45:00Z,TF-D,TF,18.933571518680772,6,TFD_E6_1
